AMBIKA COTTON MILLS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 177.75 , 208.07 , 326.78 , 389.44 , 397.79 , 476.78 , 494.97 , 492.14 , 528.26 , 584.03 , 660.95 , 660.95 , 621.51 
Expenses, 136.70 , 161.76 , 227.72 , 311.10 , 310.61 , 372.85 , 395.26 , 399.17 , 423.26 , 471.24 , 535.19 , 532.93 , 503.25 
Operating Profit, 41.05 , 46.31 , 99.06 , 78.34 , 87.18 , 103.93 , 99.71 , 92.97 , 105.00 , 112.79 , 125.76 , 128.02 , 118.26 
Other Income, 7.51 , 15.07 , 0.46 , 0.69 , 0.27 , 0.22 , 0.55 , 1.77 , 0.83 , 1.23 , 1.12 , -   , -   
Depreciation, 18.06 , 20.95 , 24.22 , 26.80 , 27.43 , 31.62 , 29.33 , 29.92 , 29.35 , 28.88 , 29.31 , 29.31 , 29.31 
Interest, 17.34 , 16.74 , 15.49 , 20.08 , 19.37 , 12.87 , 7.17 , 5.87 , 4.43 , 5.53 , 8.71 , 8.71 , 8.71 
Profit before tax, 13.16 , 23.69 , 59.81 , 32.15 , 40.66 , 59.66 , 63.77 , 58.96 , 72.06 , 79.62 , 88.86 , 90.00 , 80.24 
Tax, 3.74 , 5.16 , 17.37 , 8.27 , 9.68 , 11.52 , 12.59 , 14.50 , 16.33 , 18.55 , 22.99 ,26%,26%
Net profit, 9.42 , 18.53 , 42.44 , 23.88 , 30.98 , 48.14 , 51.18 , 44.46 , 55.74 , 61.07 , 65.87 , 66.71 , 59.48 
EPS, 16.03 , 31.54 , 72.24 , 40.65 , 52.73 , 81.94 , 87.11 , 75.68 , 97.36 , 106.67 , 115.06 , 116.53 , 103.89 
Price to earning, 3.17 , 5.33 , 3.02 , 3.61 , 3.76 , 3.59 , 9.98 , 11.14 , 14.01 , 12.64 , 9.81 , 11.90 , 7.28 
Price, 50.85 , 168.18 , 218.22 , 146.77 , 198.13 , 294.53 , 869.59 , 843.37 ," 1,363.74 "," 1,347.90 "," 1,128.25 "," 1,386.52 ", 756.15 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,12.53%,9.50%,6.93%,12.31%,18.04%,15.27%,16.08%,19.84%,0.00%,32.83%,,,
OPM,23.09%,22.26%,30.31%,20.12%,21.92%,21.80%,20.14%,18.89%,19.88%,19.31%,19.03%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.13%,8.65%,7.98%,5.67%,13.17%,13.17%,5.67%
,,,,,,OPM,21.25%,20.22%,19.97%,19.37%,19.03%,19.37%,19.03%
,,,,,,Price to Earning, 7.28 , 8.57 , 10.19 , 11.90 , 9.81 , 11.90 , 7.28 
