CAPACITE INFRAPROJECTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , 7.02 , 42.02 , 45.94 , (10.84), 121.25 , 91.07 
Cash from Investing Activity, -   , -   , -   , -   , (22.36), (124.01), (67.08), (81.05), (111.83), (420.66)
Cash from Financing Activity, -   , -   , -   , -   , 16.64 , 85.08 , 17.95 , 95.38 , (2.16), 331.56 
Net Cash Flow, -   , -   , -   , -   , 1.30 , 3.09 , (3.19), 3.49 , 7.25 , 1.96 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
