INFIBEAM AVENUES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , (0.27), (33.42), 2.80 , 13.44 , 14.87 , 21.48 , (4.73), 3.13 
Cash from Investing Activity, -   , -   , (3.96), (15.32), (10.08), (65.12), (137.73), (6.96), (493.04), 64.98 
Cash from Financing Activity, -   , -   , 4.27 , 48.73 , 7.64 , 52.32 , 125.12 , 440.66 , 114.98 , (55.85)
Net Cash Flow, -   , -   , 0.04 , (0.01), 0.36 , 0.64 , 2.26 , 455.18 , (382.79), 12.26 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
