APOLLO MICRO SYSTEMS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 13.71 , 13.71 , 13.71 , 20.76 
Reserves, -   , -   , -   , -   , -   , -   , 21.09 , 31.09 , 49.91 , 234.82 
Borrowings, -   , -   , -   , -   , -   , -   , 58.25 , 70.83 , 87.80 , 86.65 
Other Liabilities, -   , -   , -   , -   , -   , -   , 41.67 , 87.33 , 94.46 , 121.26 
Total, -   , -   , -   , -   , -   , -   , 134.72 , 202.96 , 245.88 , 463.49 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , 22.88 , 21.14 , 29.98 , 29.04 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 1.47 , 10.12 , 12.86 , 28.69 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, -   , -   , -   , -   , -   , -   , 110.37 , 171.70 , 203.04 , 405.76 
Total, -   , -   , -   , -   , -   , -   , 134.72 , 202.96 , 245.88 , 463.49 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , 68.70 , 84.37 , 108.58 , 284.50 
Debtors, -   , -   , -   , -   , -   , -   , 61.23 , 86.34 , 71.46 , 116.16 
Inventory, -   , -   , -   , -   , -   , -   , 42.46 , 72.60 , 114.08 , 171.80 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 217.06 , 208.63 , 129.85 , 192.32 
Inventory Turnover, -   , -   , -   , -   , -   , -   , 2.42 , 2.08 , 1.76 , 1.28 
,,,,,,,,,,
Return on Equity,,,,,,,21%,22%,27%,8%
Return on Capital Emp,,,,,,,31%,22%,29%,17%
,,,,,,,,,,
