GALAXY SURFACTANTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 35.46 , 35.46 , 35.45 , 35.45 
Reserves, -   , -   , -   , -   , -   , -   , 377.52 , 446.34 , 531.53 , 630.42 
Borrowings, -   , -   , -   , -   , -   , -   , 263.76 , 270.33 , 247.11 , 217.74 
Other Liabilities, -   , -   , -   , -   , -   , -   , 201.28 , 215.91 , 291.33 , 358.97 
Total, -   , -   , -   , -   , -   , -   , 878.02 , 968.04 ," 1,105.42 "," 1,242.58 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , 254.90 , 238.13 , 275.34 , 281.10 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 5.48 , 45.62 , 9.67 , 18.54 
Investments, -   , -   , -   , -   , -   , -   , 119.74 , 217.63 , 216.00 , 223.12 
Other Assets, -   , -   , -   , -   , -   , -   , 497.90 , 466.66 , 604.41 , 719.82 
Total, -   , -   , -   , -   , -   , -   , 878.02 , 968.04 ," 1,105.42 "," 1,242.58 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , 296.62 , 250.75 , 313.08 , 360.85 
Debtors, -   , -   , -   , -   , -   , -   , 248.70 , 226.09 , 287.58 , 330.10 
Inventory, -   , -   , -   , -   , -   , -   , 145.63 , 131.92 , 197.44 , 222.53 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 61.68 , 61.45 , 69.96 , 71.58 
Inventory Turnover, -   , -   , -   , -   , -   , -   , 10.11 , 10.18 , 7.60 , 7.56 
,,,,,,,,,,
Return on Equity,,,,,,,21%,22%,21%,17%
Return on Capital Emp,,,,,,,48%,27%,25%,22%
,,,,,,,,,,
