ASTRON PAPER & BOARD MILL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , 10.72 , 15.69 , 15.95 , 5.19 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , (1.95), (10.35), (10.47), (28.26)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , (8.25), (3.40), (6.75), 37.79 
Net Cash Flow, -   , -   , -   , -   , -   , -   , 0.53 , 1.94 , (1.27), 14.72 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
