GUJARAT SIDHEE CEMENT LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 85.90 , 84.92 , 24.81 , 33.26 , 49.18 , 8.70 , 28.50 , 0.96 , 20.77 , 36.32 
Cash from Investing Activity, (11.08), (13.09), (10.70), (8.98), (15.13), (46.96), (51.03), (24.35), (32.07), (45.09)
Cash from Financing Activity, (100.47), (55.85), (22.20), (5.00), (6.59), 20.43 , 30.26 , 8.25 , 9.45 , 14.80 
Net Cash Flow, (25.65), 15.98 , (8.09), 19.28 , 27.46 , (17.83), 7.72 , (15.15), (1.85), 6.03 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
