FINE ORGANIC INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , -   , 4.83 , 15.33 
Reserves, -   , -   , -   , -   , -   , -   , -   , -   , 330.12 , 393.12 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , 40.26 , 53.61 
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , -   , 80.28 , 77.19 
Total, -   , -   , -   , -   , -   , -   , -   , -   , 455.49 , 539.25 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , 96.98 , 88.32 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , 2.80 , 31.67 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , 14.33 , 14.33 
Other Assets, -   , -   , -   , -   , -   , -   , -   , -   , 341.38 , 404.93 
Total, -   , -   , -   , -   , -   , -   , -   , -   , 455.49 , 539.25 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , -   , 261.10 , 327.74 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , 120.30 , 161.08 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , 88.46 , 83.31 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , 56.52 , 69.00 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , 8.78 , 10.23 
,,,,,,,,,,
Return on Equity,,,,,,,,,24%,25%
Return on Capital Emp,,,,,,,,,68%,38%
,,,,,,,,,,
