INDIAN HUME PIPE COMPANY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 552.33 , 560.44 , 648.53 , 517.17 , 695.79 , 819.10 ," 1,009.86 ", 938.94 ," 1,791.98 "," 1,546.76 "," 1,522.79 "," 1,782.97 "," 1,523.16 "
Expenses, 497.26 , 479.43 , 580.89 , 481.57 , 634.81 , 746.93 , 900.16 , 841.97 ," 1,585.67 "," 1,395.24 "," 1,352.58 "," 1,583.68 "," 1,370.58 "
Operating Profit, 55.07 , 81.01 , 67.64 , 35.60 , 60.98 , 72.17 , 109.70 , 96.97 , 206.31 , 151.52 , 170.21 , 199.29 , 152.58 
Other Income, 4.34 , (0.59), 2.71 , 17.41 , 5.20 , 8.36 , 12.69 , 2.96 , 2.92 , 2.59 , 11.22 , -   , -   
Depreciation, 4.91 , 6.72 , 7.40 , 6.94 , 7.40 , 7.83 , 12.13 , 9.80 , 10.53 , 10.84 , 11.16 , 11.16 , 11.16 
Interest, 21.09 , 23.10 , 20.59 , 23.68 , 25.37 , 34.69 , 48.30 , 45.26 , 45.71 , 42.88 , 47.17 , 47.17 , 47.17 
Profit before tax, 33.41 , 50.60 , 42.36 , 22.39 , 33.41 , 38.01 , 61.97 , 44.86 , 153.00 , 100.38 , 123.10 , 140.96 , 94.25 
Tax, 8.10 , 22.03 , 14.39 , 6.47 , 10.56 , 13.96 , 20.40 , 15.75 , 53.33 , 34.32 , 42.49 ,35%,35%
Net profit, 25.31 , 28.57 , 27.97 , 15.92 , 22.85 , 24.06 , 41.57 , 29.10 , 99.68 , 66.06 , 80.60 , 92.31 , 61.72 
EPS, 5.22 , 5.90 , 5.77 , 3.29 , 4.72 , 4.97 , 8.58 , 6.01 , 20.57 , 13.64 , 16.64 , 19.05 , 12.74 
Price to earning, 5.73 , 13.04 , 12.51 , 15.85 , 10.58 , 13.30 , 17.36 , 27.68 , 19.95 , 25.18 , 16.81 , 22.41 , 16.18 
Price, 29.96 , 76.87 , 72.25 , 52.08 , 49.92 , 66.08 , 148.94 , 166.29 , 410.45 , 343.31 , 279.70 , 426.90 , 206.15 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,16.24%,16.94%,17.30%,30.40%,23.28%,24.15%,17.46%,26.60%,16.52%,24.93%,,,
OPM,9.97%,14.45%,10.43%,6.88%,8.76%,8.81%,10.86%,10.33%,11.51%,9.80%,11.18%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,12.12%,13.22%,17.32%,15.27%,-1.55%,15.27%,-1.55%
,,,,,,OPM,10.32%,10.02%,10.43%,10.63%,11.18%,11.18%,10.02%
,,,,,,Price to Earning, 16.18 , 18.34 , 20.05 , 22.41 , 16.81 , 22.41 , 16.18 
