ADOR WELDING LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 32.55 , 24.09 , 27.50 , 28.38 , 16.91 , 30.40 , 0.76 , 22.42 , 0.14 , (36.92)
Cash from Investing Activity, (16.59), (11.27), (24.70), (19.52), (8.71), (1.32), (8.03), (3.61), (11.46), 0.28 
Cash from Financing Activity, (14.60), (6.93), (9.07), (9.94), (9.86), (11.27), (9.30), (9.30), 18.65 , 32.52 
Net Cash Flow, 1.36 , 5.89 , (6.27), (1.08), (1.66), 17.81 , (16.57), 9.51 , 7.33 , (4.12)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
