FUTURE SUPPLY CHAIN SOLUTIONS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , 44.07 , (15.41), 90.88 , 163.24 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , (18.00), (2.53), (62.18), (127.28)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , (26.28), 17.34 , 16.50 , (7.99)
Net Cash Flow, -   , -   , -   , -   , -   , -   , (0.20), (0.60), 45.20 , 27.97 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
