ITD CEMENTATION INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17
Cash from Operating Activity, (272.33), 13.88 , 111.20 , 32.42 , 74.16 , 135.10 , 33.64 , 448.62 , 324.62 , (15.11)
Cash from Investing Activity, (58.13), (22.92), (36.10), (61.55), (35.56), (26.19), (19.59), (86.61), (18.98), (81.52)
Cash from Financing Activity, 289.85 , 8.72 , (50.97), 15.72 , (49.52), (110.12), (8.58), (298.19), (221.94), 41.61 
Net Cash Flow, (40.61), (0.32), 24.13 , (13.41), (10.92), (1.21), 5.47 , 63.83 , 83.70 , (55.02)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
