EQUITAS HOLDINGS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , (240.36), (170.66), (16.33), 12.44 , (62.28), 4.31 , 57.15 , (106.30), 7.02 
Cash from Investing Activity, -   , (11.54), 5.10 , (104.20), (145.38), (136.87), (327.20), (6.49), (636.77), (19.22)
Cash from Financing Activity, -   , 384.25 , 162.00 , -   , 137.78 , 195.73 , 322.12 , 3.47 , 709.18 , 14.66 
Net Cash Flow, -   , 132.35 , (3.56), (120.53), 4.84 , (3.42), (0.77), 54.13 , (33.89), 2.46 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
