AIRAN LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , 7.26 , 1.58 , 1.97 , 0.55 , 10.67 , (9.77), 8.47 
Cash from Investing Activity, -   , -   , -   , (11.92), (0.33), (1.66), (6.16), (8.10), 1.41 , (14.48)
Cash from Financing Activity, -   , -   , -   , 2.88 , (1.17), 0.92 , 5.62 , (1.61), 18.05 , (5.22)
Net Cash Flow, -   , -   , -   , (1.78), 0.08 , 1.24 , 0.02 , 0.97 , 9.68 , (11.23)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
