CHEMFAB ALKALIS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , -   , 37.86 , 44.60 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , -   , (8.72), (30.13)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , -   , (30.50), (13.74)
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , -   , (1.36), 0.72 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
