I G PETROCHEMICALS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 556.49 , 541.87 , 631.29 , 886.07 , 970.34 ," 1,204.30 "," 1,186.65 ", 952.84 ," 1,037.48 "," 1,144.17 "," 1,303.71 "," 1,303.71 "," 1,128.42 "
Expenses, 521.93 , 487.72 , 587.33 , 843.33 , 913.68 ," 1,143.75 "," 1,106.42 ", 839.48 , 869.17 , 876.76 ," 1,077.57 "," 1,075.33 "," 1,014.25 "
Operating Profit, 34.56 , 54.15 , 43.96 , 42.74 , 56.66 , 60.55 , 80.23 , 113.36 , 168.31 , 267.41 , 226.14 , 228.38 , 114.18 
Other Income, 1.98 , 6.92 , 0.93 , 3.41 , (22.35), (8.23), (14.41), 3.57 , 3.32 , 4.02 , (1.92), -   , -   
Depreciation, 13.43 , 13.65 , 14.21 , 14.90 , 13.75 , 18.03 , 16.39 , 17.54 , 21.12 , 25.70 , 26.47 , 26.47 , 26.47 
Interest, 21.36 , 14.51 , 14.16 , 14.65 , 16.67 , 30.36 , 38.17 , 22.67 , 18.24 , 14.88 , 11.44 , 11.44 , 11.44 
Profit before tax, 1.75 , 32.91 , 16.52 , 16.60 , 3.89 , 3.92 , 11.26 , 76.71 , 132.27 , 230.84 , 186.31 , 190.47 , 76.27 
Tax, 0.42 , 5.59 , 3.29 , 3.31 , 0.81 , 0.78 , 2.36 , 16.35 , 30.33 , 84.31 , 69.83 ,37%,37%
Net profit, 1.33 , 27.32 , 13.23 , 13.29 , 3.08 , 3.13 , 8.90 , 60.36 , 101.94 , 146.54 , 116.48 , 119.08 , 47.68 
EPS, 0.43 , 8.87 , 4.30 , 4.31 , 1.00 , 1.02 , 2.89 , 19.60 , 33.10 , 47.58 , 37.82 , 38.67 , 15.48 
Price to earning, 46.05 , 5.22 , 7.31 , 5.33 , 23.65 , 25.41 , 22.57 , 6.15 , 11.31 , 15.77 , 7.38 , 10.15 , 7.38 
Price, 19.88 , 46.28 , 31.39 , 23.00 , 23.65 , 25.82 , 65.21 , 120.47 , 374.24 , 750.45 , 279.00 , 392.53 , 114.21 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,34.61%,10.21%,9.06%,8.41%,,,
OPM,6.21%,9.99%,6.96%,4.82%,5.84%,5.03%,6.76%,11.90%,16.22%,23.37%,17.35%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.34%,8.87%,3.35%,-1.21%,13.94%,13.94%,-1.21%
,,,,,,OPM,10.12%,10.69%,12.49%,17.52%,17.35%,17.52%,10.12%
,,,,,,Price to Earning, 16.01 , 14.70 , 14.76 , 10.15 , 7.38 , 10.15 , 7.38 
