IDFC FIRST BANK LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 0.05 ," 3,392.62 "," 3,399.01 "," 3,404.07 "
Reserves, -   , -   , -   , -   , -   , -   , (2.58)," 10,236.61 "," 11,277.97 "," 11,852.46 "
Borrowings, -   , -   , -   , -   , -   , -   , -   ," 65,378.88 "," 90,470.41 "," 1,05,485.27 "
Other Liabilities, -   , -   , -   , -   , -   , -   , 2.59 ," 4,325.27 "," 7,207.64 "," 5,966.19 "
Total, -   , -   , -   , -   , -   , -   , 0.06 ," 83,333.38 "," 1,12,355.03 "," 1,26,707.99 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , 643.64 , 781.18 , 780.74 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , 29.21 , 5.37 , 3.39 
Investments, -   , -   , -   , -   , -   , -   , -   ," 29,728.61 "," 50,471.70 "," 61,201.53 "
Other Assets, -   , -   , -   , -   , -   , -   , 0.06 ," 52,931.92 "," 61,096.78 "," 64,722.33 "
Total, -   , -   , -   , -   , -   , -   , 0.06 ," 83,333.38 "," 1,12,355.03 "," 1,26,707.99 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , (2.53)," 48,606.65 "," 53,889.14 "," 58,756.14 "
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,,,3%,7%,6%
Return on Capital Emp,,,,,,,,9%,9%,7%
,,,,,,,,,,
