IL&FS ENGINEERING & CONSTRUCTION CO LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-08,Mar-09,Mar-10,Mar-11,Sep-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (268.97), (585.44), (12.69), (97.05), 80.82 , (54.77), (134.81), (128.70), 61.49 , (115.95)
Cash from Investing Activity, (434.39), (187.47), 6.03 , (188.09), (465.74), 76.01 , (3.64), 254.46 , 41.71 , (63.57)
Cash from Financing Activity, 922.94 , 530.96 , 11.71 , 297.40 , 362.29 , 14.64 , 112.17 , (141.02), (103.82), 189.87 
Net Cash Flow, 219.58 , (241.95), 5.05 , 12.26 , (22.63), 35.88 , (26.28), (15.26), (0.62), 10.35 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
