ICICI SECURITIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , -   , 162.20 , 66.08 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , -   , (16.95), (20.99)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , -   , (54.14), 6.35 
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , -   , 91.11 , 51.44 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
