DECCAN CEMENTS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 185.47 , 296.21 , 338.46 , 509.79 , 573.49 , 440.56 , 407.32 , 625.44 , 496.25 , 570.25 , 660.99 , 660.99 , 569.50 
Expenses, 120.11 , 222.27 , 316.51 , 469.57 , 508.73 , 383.35 , 409.09 , 510.80 , 395.89 , 484.39 , 572.47 , 543.45 , 496.72 
Operating Profit, 65.36 , 73.94 , 21.95 , 40.22 , 64.76 , 57.21 , (1.77), 114.64 , 100.36 , 85.86 , 88.52 , 117.54 , 72.79 
Other Income, 1.47 , 2.77 , 4.74 , 3.48 , 3.01 , 2.02 , 2.88 , 1.48 , 2.42 , 3.50 , 6.21 , -   , -   
Depreciation, 6.98 , 23.81 , 24.06 , 24.69 , 24.65 , 24.40 , 19.48 , 20.33 , 21.72 , 22.69 , 22.21 , 22.21 , 22.21 
Interest, 4.58 , 34.03 , 39.56 , 40.57 , 30.69 , 27.35 , 26.63 , 15.22 , 7.48 , 5.84 , 6.20 , 6.20 , 6.20 
Profit before tax, 55.27 , 18.87 , 5.40 , 53.66 , 12.43 , 7.49 , 21.19 , 80.57 , 73.58 , 60.84 , 66.32 , 89.13 , 44.38 
Tax, 21.04 , 14.53 , 3.41 , 5.90 , 5.12 , 2.47 , 1.31 , 35.01 , 26.71 , 22.30 , 24.63 ,37%,37%
Net profit, 34.23 , 4.34 , 1.99 , 47.76 , 7.31 , 5.02 , 19.88 , 45.56 , 46.87 , 38.55 , 41.69 , 56.03 , 27.90 
EPS, 24.44 , 3.10 , 1.42 , 34.10 , 5.22 , 3.58 , 14.19 , 32.53 , 33.46 , 27.52 , 29.76 , 40.00 , 19.91 
Price to earning, 3.11 , 30.64 , 53.68 , 2.58 , 18.98 , 23.90 , 13.18 , 10.08 , 17.56 , 18.72 , 15.89 , 15.89 , 15.11 
Price, 75.96 , 94.92 , 76.27 , 87.95 , 99.04 , 85.67 , 186.99 , 327.97 , 587.61 , 515.14 , 472.85 , 635.46 , 300.93 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,6.13%,48.39%,42.21%,4.40%,19.15%,16.73%,8.80%,7.68%,8.96%,10.89%,,,
OPM,35.24%,24.96%,6.49%,7.89%,11.29%,12.99%,0.00%,18.33%,20.22%,15.06%,13.39%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,13.29%,7.74%,-0.11%,11.87%,15.91%,15.91%,-0.11%
,,,,,,OPM,14.05%,12.78%,14.10%,17.78%,13.39%,17.78%,12.78%
,,,,,,Price to Earning, 18.94 , 15.11 , 16.56 , 15.56 , 15.89 , 15.89 , 15.11 
